<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200313,000000,0.1528700,0.1528700,0.1528700,0.1528700,0
20200314,000000,0.1511120,0.1511120,0.1511120,0.1511120,0
20200317,000000,0.1519510,0.1519510,0.1519510,0.1519510,0
20200318,000000,0.1508720,0.1508720,0.1508720,0.1508720,0
20200319,000000,0.1576580,0.1576580,0.1576580,0.1576580,0
20200320,000000,0.1631530,0.1631530,0.1631530,0.1631530,0
20200321,000000,0.1585300,0.1585300,0.1585300,0.1585300,0
20200324,000000,0.1638110,0.1638110,0.1638110,0.1638110,0
20200325,000000,0.1596950,0.1596950,0.1596950,0.1596950,0
20200326,000000,0.1575550,0.1575550,0.1575550,0.1575550,0
20200327,000000,0.1591960,0.1591960,0.1591960,0.1591960,0
20200328,000000,0.1571940,0.1571940,0.1571940,0.1571940,0
20200407,000000,0.1524340,0.1524340,0.1524340,0.1524340,0
20200408,000000,0.1505340,0.1505340,0.1505340,0.1505340,0
20200409,000000,0.1516970,0.1516970,0.1516970,0.1516970,0
20200410,000000,0.1492100,0.1492100,0.1492100,0.1492100,0
20200411,000000,0.1495820,0.1495820,0.1495820,0.1495820,0
20200414,000000,0.1496900,0.1496900,0.1496900,0.1496900,0
20200415,000000,0.1506990,0.1506990,0.1506990,0.1506990,0
20200416,000000,0.1518010,0.1518010,0.1518010,0.1518010,0
20200417,000000,0.1540450,0.1540450,0.1540450,0.1540450,0
20200418,000000,0.1526040,0.1526040,0.1526040,0.1526040,0
20200421,000000,0.1542840,0.1542840,0.1542840,0.1542840,0
20200422,000000,0.1580770,0.1580770,0.1580770,0.1580770,0
20200423,000000,0.1602200,0.1602200,0.1602200,0.1602200,0
20200424,000000,0.1565840,0.1565840,0.1565840,0.1565840,0
20200425,000000,0.1557730,0.1557730,0.1557730,0.1557730,0
20200428,000000,0.1548130,0.1548130,0.1548130,0.1548130,0
20200429,000000,0.1549680,0.1549680,0.1549680,0.1549680,0
20200430,000000,0.1536410,0.1536410,0.1536410,0.1536410,0
20200501,000000,0.1516680,0.1516680,0.1516680,0.1516680,0
20200507,000000,0.1539000,0.1539000,0.1539000,0.1539000,0
20200508,000000,0.1532920,0.1532920,0.1532920,0.1532920,0
20200509,000000,0.1523770,0.1523770,0.1523770,0.1523770,0
20200513,000000,0.1505690,0.1505690,0.1505690,0.1505690,0
20200514,000000,0.1507830,0.1507830,0.1507830,0.1507830,0
20200515,000000,0.1516010,0.1516010,0.1516010,0.1516010,0
20200516,000000,0.1501040,0.1501040,0.1501040,0.1501040,0
20200519,000000,0.1499790,0.1499790,0.1499790,0.1499790,0
20200520,000000,0.1489910,0.1489910,0.1489910,0.1489910,0
20200521,000000,0.1494900,0.1494900,0.1494900,0.1494900,0
20200522,000000,0.1466580,0.1466580,0.1466580,0.1466580,0
20200523,000000,0.1492380,0.1492380,0.1492380,0.1492380,0
20200526,000000,0.1481100,0.1481100,0.1481100,0.1481100,0
20200527,000000,0.1470150,0.1470150,0.1470150,0.1470150,0
20200528,000000,0.1467340,0.1467340,0.1467340,0.1467340,0
20200529,000000,0.1469310,0.1469310,0.1469310,0.1469310,0
20200530,000000,0.1462120,0.1462120,0.1462120,0.1462120,0
20200602,000000,0.1440620,0.1440620,0.1440620,0.1440620,0
20200603,000000,0.1425860,0.1425860,0.1425860,0.1425860,0
20200604,000000,0.1409970,0.1409970,0.1409970,0.1409970,0
20200605,000000,0.1430360,0.1430360,0.1430360,0.1430360,0
20200606,000000,0.1418010,0.1418010,0.1418010,0.1418010,0
20200609,000000,0.1415800,0.1415800,0.1415800,0.1415800,0
20200610,000000,0.1426560,0.1426560,0.1426560,0.1426560,0
20200611,000000,0.1420370,0.1420370,0.1420370,0.1420370,0
20200612,000000,0.1430500,0.1430500,0.1430500,0.1430500,0
20200616,000000,0.1457760,0.1457760,0.1457760,0.1457760,0
20200617,000000,0.1444450,0.1444450,0.1444450,0.1444450,0
20200618,000000,0.1440340,0.1440340,0.1440340,0.1440340,0
20200619,000000,0.1444360,0.1444360,0.1444360,0.1444360,0
20200620,000000,0.1447620,0.1447620,0.1447620,0.1447620,0
20200623,000000,0.1445770,0.1445770,0.1445770,0.1445770,0
20200624,000000,0.1429950,0.1429950,0.1429950,0.1429950,0
