<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190621,000000,149.6000000,152.5000000,147.6000000,151.9000000,993728
20190624,000000,152.2000000,153.8500000,150.5000000,151.8500000,648752
20190625,000000,150.9000000,152.1000000,149.1500000,149.3500000,430607
20190626,000000,148.4500000,149.4000000,144.4000000,146.3500000,754299
20190627,000000,147.6500000,149.5500000,147.2000000,148.5500000,662702
20190628,000000,149.1000000,150.4500000,147.3500000,148.0500000,637432
20190701,000000,151.0000000,152.4500000,149.5500000,152.1000000,1025995
20190702,000000,153.2500000,155.3500000,151.0500000,151.7500000,873666
20190703,000000,151.5000000,153.3500000,150.8000000,152.7000000,489629
20190704,000000,153.3000000,153.8500000,152.2500000,153.2500000,401320
20190705,000000,153.8000000,155.1000000,151.2500000,152.1500000,573478
20190708,000000,152.0000000,153.9000000,151.4000000,152.9500000,608864
20190709,000000,152.2500000,152.7500000,147.6000000,149.8000000,807782
20190710,000000,150.1000000,150.5000000,148.5000000,149.4500000,547886
20190711,000000,149.7500000,150.2000000,146.2500000,146.4500000,683262
20190712,000000,144.3500000,145.3000000,141.3000000,144.2500000,1183426
20190715,000000,145.0000000,149.6000000,144.0500000,149.1500000,780413
20190716,000000,149.9000000,150.6500000,146.7500000,147.1500000,857860
20190717,000000,146.6500000,146.8500000,142.6500000,142.6500000,1112939
20190718,000000,141.9000000,142.9500000,135.2000000,139.4000000,1665280
20190719,000000,143.3000000,147.9000000,142.0500000,146.7500000,1514088
20190722,000000,148.4000000,150.8000000,148.1000000,150.6500000,1053161
20190723,000000,151.6000000,153.9000000,148.1000000,150.2500000,1232273
20190724,000000,150.3000000,152.2000000,146.0500000,151.9000000,921785
20190725,000000,152.9000000,153.2000000,150.2000000,150.7000000,864647
20190726,000000,150.3000000,152.1000000,149.6500000,151.3500000,598820
20190729,000000,151.3000000,152.3500000,150.0000000,150.8000000,385138
20190730,000000,150.4000000,150.5500000,147.4000000,148.0000000,688439
20190731,000000,148.0000000,152.0000000,147.1000000,151.3500000,680554
20190801,000000,149.9000000,152.3000000,149.4000000,151.6000000,631110
20190802,000000,150.0000000,151.3500000,148.4000000,149.4500000,815115
20190805,000000,148.0500000,148.1000000,143.6500000,145.7000000,1137823
20190806,000000,147.5000000,152.1000000,145.5500000,151.0000000,1191210
20190807,000000,151.1000000,152.1500000,145.5000000,147.6000000,1467813
20190808,000000,149.6000000,149.9000000,146.4000000,147.5500000,803736
20190809,000000,148.1000000,148.7000000,143.8500000,144.8500000,805359
20190812,000000,146.3000000,146.7500000,140.5000000,142.8000000,886516
20190813,000000,141.0000000,142.7500000,138.0500000,141.7500000,1228626
20190814,000000,142.1000000,142.4500000,137.6500000,138.0000000,952497
20190815,000000,138.3000000,139.0500000,131.0000000,135.0500000,1563927
20190816,000000,135.8500000,139.6000000,134.8500000,138.4500000,827886
20190819,000000,142.1500000,143.1500000,139.7500000,141.3500000,648054
20190820,000000,141.3500000,142.9500000,140.4500000,140.9500000,488335
20190821,000000,141.1000000,144.3000000,141.1000000,144.1500000,702082
20190822,000000,143.9000000,146.0000000,142.8500000,143.5500000,714139
20190823,000000,144.8000000,147.8000000,144.5500000,145.4000000,1108174
20190826,000000,143.7000000,146.4500000,141.5500000,145.0000000,775579
20190827,000000,145.1000000,145.2500000,143.6000000,144.5000000,364641
20190828,000000,144.2000000,144.2500000,140.6000000,142.7500000,696837
20190829,000000,142.1500000,144.2500000,141.9000000,143.3000000,526632
20190830,000000,143.9000000,146.2000000,143.4500000,144.9000000,838866
20190902,000000,144.9000000,145.1500000,143.3000000,144.5000000,622614
20190903,000000,143.9000000,144.7500000,143.3500000,144.4000000,492186
20190904,000000,146.5500000,150.9000000,146.0500000,150.3000000,1320793
20190905,000000,152.0000000,157.9500000,151.8000000,157.3500000,1559411
20190906,000000,157.8000000,159.8000000,156.2000000,157.5000000,1056992
20190909,000000,158.0500000,159.0000000,156.7500000,156.8500000,624346
20190910,000000,154.7000000,154.8000000,148.9500000,150.5000000,1472769
20190911,000000,152.2000000,152.9500000,150.6500000,152.3000000,650922
20190912,000000,153.4000000,153.6500000,150.3000000,151.4000000,680081
20190913,000000,151.4000000,151.6000000,149.8500000,150.0500000,573233
20190916,000000,149.9000000,154.9000000,148.1500000,153.8000000,1044291
20190917,000000,153.7000000,154.6000000,151.0500000,153.0500000,716058
20190918,000000,153.5000000,158.3500000,153.4000000,158.1000000,2020199
20190919,000000,157.0000000,157.5500000,150.2500000,150.5500000,2810474
20190920,000000,150.0000000,151.8500000,147.8000000,148.2000000,1760374
20190923,000000,148.5500000,149.2500000,144.5500000,145.5500000,931675
20190924,000000,146.2000000,150.1000000,146.2000000,149.0500000,680115
20190925,000000,145.8500000,146.8500000,143.6500000,146.5000000,1055987
20190926,000000,148.5000000,149.9000000,147.3000000,147.8000000,629961
20190927,000000,148.7000000,150.3500000,147.5500000,149.7500000,562051
20190930,000000,149.4500000,149.7500000,146.5000000,147.1500000,651606
20191001,000000,148.1000000,149.1000000,144.1500000,144.9000000,913105
20191002,000000,144.5000000,144.5500000,139.3500000,140.2500000,1457658
20191004,000000,140.9000000,141.5500000,137.0500000,140.5500000,1527015
20191007,000000,141.9000000,145.1500000,141.6500000,144.4500000,840354
20191008,000000,147.9000000,148.0000000,137.2500000,138.8000000,2318702
20191009,000000,138.6000000,142.7000000,134.9000000,141.4000000,1677666
20191010,000000,140.6000000,141.6500000,138.6000000,141.0000000,859775
20191011,000000,140.4000000,142.4500000,139.5500000,141.9000000,757312
20191014,000000,141.7500000,143.3000000,139.8000000,139.9500000,633586
20191015,000000,133.4500000,133.4500000,107.8000000,122.3000000,9592279
20191016,000000,120.9500000,125.8000000,116.4500000,122.1500000,3483104
20191017,000000,123.3000000,123.3500000,115.7000000,118.9000000,3270383
20191018,000000,117.5000000,119.1000000,110.1000000,110.8500000,5080908
20191021,000000,118.5000000,120.9000000,116.1000000,118.8000000,2434053
20191022,000000,119.8000000,119.8500000,115.5000000,116.0500000,1562790
20191023,000000,114.3000000,115.8500000,112.8000000,115.3500000,1194220
